KVcache prepared in 16.187079429626465 seconds
[0]: Semantic Similarity: 0.24778,	 cache time: 9.5367431640625e-07,	 generate time: 0.27400684356689453
[0]: [Cumulative]: Semantic Similarity: 0.24778,	 cache time: 9.5367431640625e-07,	 generate time: 0.27400684356689453
[1]: Semantic Similarity: 0.2548,	 cache time: 4.76837158203125e-07,	 generate time: 0.1179196834564209
[1]: [Cumulative]: Semantic Similarity: 0.25129,	 cache time: 7.152557373046875e-07,	 generate time: 0.19596326351165771
[2]: Semantic Similarity: 0.01859,	 cache time: 9.5367431640625e-07,	 generate time: 0.11912274360656738
[2]: [Cumulative]: Semantic Similarity: 0.17372,	 cache time: 7.947285970052084e-07,	 generate time: 0.1703497568766276
[3]: Semantic Similarity: 0.10049,	 cache time: 9.5367431640625e-07,	 generate time: 0.11844778060913086
[3]: [Cumulative]: Semantic Similarity: 0.15542,	 cache time: 8.344650268554688e-07,	 generate time: 0.15737426280975342
[4]: Semantic Similarity: 0.20175,	 cache time: 7.152557373046875e-07,	 generate time: 0.12032842636108398
[4]: [Cumulative]: Semantic Similarity: 0.16468,	 cache time: 8.106231689453125e-07,	 generate time: 0.14996509552001952
[5]: Semantic Similarity: 0.29948,	 cache time: 4.76837158203125e-07,	 generate time: 0.1178288459777832
[5]: [Cumulative]: Semantic Similarity: 0.18715,	 cache time: 7.549921671549479e-07,	 generate time: 0.14460905392964682
[6]: Semantic Similarity: 0.42042,	 cache time: 7.152557373046875e-07,	 generate time: 0.11923623085021973
[6]: [Cumulative]: Semantic Similarity: 0.22047,	 cache time: 7.493155343191964e-07,	 generate time: 0.14098436491830008
[7]: Semantic Similarity: 0.13427,	 cache time: 7.152557373046875e-07,	 generate time: 0.11848068237304688
[7]: [Cumulative]: Semantic Similarity: 0.2097,	 cache time: 7.450580596923828e-07,	 generate time: 0.13817140460014343
[8]: Semantic Similarity: 0.08689,	 cache time: 7.152557373046875e-07,	 generate time: 0.11678194999694824
[8]: [Cumulative]: Semantic Similarity: 0.19605,	 cache time: 7.417466905381945e-07,	 generate time: 0.13579479853312174
[9]: Semantic Similarity: 0.27577,	 cache time: 1.1920928955078125e-06,	 generate time: 0.11785221099853516
[9]: [Cumulative]: Semantic Similarity: 0.20402,	 cache time: 7.867813110351562e-07,	 generate time: 0.13400053977966309
[10]: Semantic Similarity: 0.17485,	 cache time: 1.1920928955078125e-06,	 generate time: 0.11724185943603516
[10]: [Cumulative]: Semantic Similarity: 0.20137,	 cache time: 8.236278187144886e-07,	 generate time: 0.1324770233847878
[11]: Semantic Similarity: 0.26865,	 cache time: 1.1920928955078125e-06,	 generate time: 0.11932992935180664
[11]: [Cumulative]: Semantic Similarity: 0.20698,	 cache time: 8.54333241780599e-07,	 generate time: 0.1313814322153727
[12]: Semantic Similarity: 0.42837,	 cache time: 7.152557373046875e-07,	 generate time: 0.16657090187072754
[12]: [Cumulative]: Semantic Similarity: 0.22401,	 cache time: 8.436349722055288e-07,	 generate time: 0.13408831449655387
[13]: Semantic Similarity: 0.21772,	 cache time: 9.5367431640625e-07,	 generate time: 0.11843371391296387
[13]: [Cumulative]: Semantic Similarity: 0.22356,	 cache time: 8.514949253627233e-07,	 generate time: 0.13297012874058314
[14]: Semantic Similarity: 0.25247,	 cache time: 7.152557373046875e-07,	 generate time: 0.11796426773071289
[14]: [Cumulative]: Semantic Similarity: 0.22549,	 cache time: 8.424123128255208e-07,	 generate time: 0.13196973800659179
[15]: Semantic Similarity: 0.07795,	 cache time: 9.5367431640625e-07,	 generate time: 0.1190958023071289
[15]: [Cumulative]: Semantic Similarity: 0.21627,	 cache time: 8.493661880493164e-07,	 generate time: 0.13116511702537537
[16]: Semantic Similarity: 0.2264,	 cache time: 1.1920928955078125e-06,	 generate time: 0.11923503875732422
[16]: [Cumulative]: Semantic Similarity: 0.21686,	 cache time: 8.695265826056985e-07,	 generate time: 0.13046334771549
[17]: Semantic Similarity: -0.01993,	 cache time: 1.1920928955078125e-06,	 generate time: 0.11834025382995605
[17]: [Cumulative]: Semantic Similarity: 0.20371,	 cache time: 8.874469333224827e-07,	 generate time: 0.129789842499627
[18]: Semantic Similarity: 0.23333,	 cache time: 7.152557373046875e-07,	 generate time: 0.11757516860961914
[18]: [Cumulative]: Semantic Similarity: 0.20527,	 cache time: 8.783842387952302e-07,	 generate time: 0.1291469649264687
[19]: Semantic Similarity: 0.16634,	 cache time: 1.1920928955078125e-06,	 generate time: 0.11718082427978516
[19]: [Cumulative]: Semantic Similarity: 0.20332,	 cache time: 8.940696716308594e-07,	 generate time: 0.12854865789413453
[20]: Semantic Similarity: 0.03144,	 cache time: 9.5367431640625e-07,	 generate time: 0.11713147163391113
[20]: [Cumulative]: Semantic Similarity: 0.19514,	 cache time: 8.969079880487351e-07,	 generate time: 0.1280049823579334
[21]: Semantic Similarity: 0.19098,	 cache time: 9.5367431640625e-07,	 generate time: 0.11968207359313965
[21]: [Cumulative]: Semantic Similarity: 0.19495,	 cache time: 8.994882757013495e-07,	 generate time: 0.12762666832317004
[22]: Semantic Similarity: 0.20466,	 cache time: 1.1920928955078125e-06,	 generate time: 0.11641716957092285
[22]: [Cumulative]: Semantic Similarity: 0.19537,	 cache time: 9.122102156929348e-07,	 generate time: 0.1271392988122028
[23]: Semantic Similarity: 0.19657,	 cache time: 7.152557373046875e-07,	 generate time: 0.11766695976257324
[23]: [Cumulative]: Semantic Similarity: 0.19542,	 cache time: 9.040037790934244e-07,	 generate time: 0.12674461801846823
[24]: Semantic Similarity: 0.19847,	 cache time: 7.152557373046875e-07,	 generate time: 0.11724090576171875
[24]: [Cumulative]: Semantic Similarity: 0.19554,	 cache time: 8.96453857421875e-07,	 generate time: 0.12636446952819824
[25]: Semantic Similarity: 0.14593,	 cache time: 9.5367431640625e-07,	 generate time: 0.11707615852355957
[25]: [Cumulative]: Semantic Similarity: 0.19363,	 cache time: 8.986546443058894e-07,	 generate time: 0.1260072267972506
[26]: Semantic Similarity: 0.15349,	 cache time: 7.152557373046875e-07,	 generate time: 0.11710309982299805
[26]: [Cumulative]: Semantic Similarity: 0.19215,	 cache time: 8.918620921947338e-07,	 generate time: 0.12567744431672273
[27]: Semantic Similarity: 0.02481,	 cache time: 7.152557373046875e-07,	 generate time: 0.11916613578796387
[27]: [Cumulative]: Semantic Similarity: 0.18617,	 cache time: 8.855547223772322e-07,	 generate time: 0.12544489758355276
[28]: Semantic Similarity: 0.09002,	 cache time: 7.152557373046875e-07,	 generate time: 0.1193230152130127
[28]: [Cumulative]: Semantic Similarity: 0.18285,	 cache time: 8.796823435816272e-07,	 generate time: 0.12523379819146518
[29]: Semantic Similarity: 0.2675,	 cache time: 1.430511474609375e-06,	 generate time: 0.11936736106872559
[29]: [Cumulative]: Semantic Similarity: 0.18568,	 cache time: 8.980433146158854e-07,	 generate time: 0.12503825028737386
[30]: Semantic Similarity: 0.23333,	 cache time: 9.5367431640625e-07,	 generate time: 0.11823058128356934
[30]: [Cumulative]: Semantic Similarity: 0.18721,	 cache time: 8.998378630607359e-07,	 generate time: 0.12481864806144469
