KVcache prepared in 0.6780681610107422 seconds
[0]: Semantic Similarity: 0.445,	 cache time: 7.152557373046875e-07,	 generate time: 8.257672309875488
[0]: [Cumulative]: Semantic Similarity: 0.445,	 cache time: 7.152557373046875e-07,	 generate time: 8.257672309875488
[1]: Semantic Similarity: 0.19078,	 cache time: 4.76837158203125e-07,	 generate time: 4.692930221557617
[1]: [Cumulative]: Semantic Similarity: 0.31789,	 cache time: 5.960464477539062e-07,	 generate time: 6.475301265716553
[2]: Semantic Similarity: 0.44654,	 cache time: 4.76837158203125e-07,	 generate time: 2.299738883972168
[2]: [Cumulative]: Semantic Similarity: 0.36077,	 cache time: 5.563100179036459e-07,	 generate time: 5.083447138468425
[3]: Semantic Similarity: 0.54875,	 cache time: 9.5367431640625e-07,	 generate time: 0.412738561630249
[3]: [Cumulative]: Semantic Similarity: 0.40777,	 cache time: 6.556510925292969e-07,	 generate time: 3.9157699942588806
[4]: Semantic Similarity: 0.11898,	 cache time: 7.152557373046875e-07,	 generate time: 8.050776720046997
[4]: [Cumulative]: Semantic Similarity: 0.35001,	 cache time: 6.67572021484375e-07,	 generate time: 4.742771339416504
[5]: Semantic Similarity: 0.69147,	 cache time: 9.5367431640625e-07,	 generate time: 3.151766538619995
[5]: [Cumulative]: Semantic Similarity: 0.40692,	 cache time: 7.152557373046875e-07,	 generate time: 4.4776038726170855
[6]: Semantic Similarity: 0.30249,	 cache time: 7.152557373046875e-07,	 generate time: 0.31943368911743164
[6]: [Cumulative]: Semantic Similarity: 0.392,	 cache time: 7.152557373046875e-07,	 generate time: 3.8835795606885637
[7]: Semantic Similarity: 0.605,	 cache time: 1.1920928955078125e-06,	 generate time: 0.6341257095336914
[7]: [Cumulative]: Semantic Similarity: 0.41863,	 cache time: 7.748603820800781e-07,	 generate time: 3.4773978292942047
[8]: Semantic Similarity: 0.46198,	 cache time: 1.1920928955078125e-06,	 generate time: 0.369631290435791
[8]: [Cumulative]: Semantic Similarity: 0.42344,	 cache time: 8.212195502387153e-07,	 generate time: 3.132090436087714
[9]: Semantic Similarity: 0.6238,	 cache time: 7.152557373046875e-07,	 generate time: 0.47156405448913574
[9]: [Cumulative]: Semantic Similarity: 0.44348,	 cache time: 8.106231689453125e-07,	 generate time: 2.8660377979278566
[10]: Semantic Similarity: 0.49624,	 cache time: 9.5367431640625e-07,	 generate time: 5.839177846908569
[10]: [Cumulative]: Semantic Similarity: 0.44828,	 cache time: 8.236278187144886e-07,	 generate time: 3.136323256926103
[11]: Semantic Similarity: 0.37198,	 cache time: 7.152557373046875e-07,	 generate time: 1.2465002536773682
[11]: [Cumulative]: Semantic Similarity: 0.44192,	 cache time: 8.145968119303385e-07,	 generate time: 2.978838006655375
[12]: Semantic Similarity: 0.28201,	 cache time: 9.5367431640625e-07,	 generate time: 2.0718908309936523
[12]: [Cumulative]: Semantic Similarity: 0.42962,	 cache time: 8.252950815054087e-07,	 generate time: 2.909072839296781
[13]: Semantic Similarity: 0.68829,	 cache time: 7.152557373046875e-07,	 generate time: 0.4157886505126953
[13]: [Cumulative]: Semantic Similarity: 0.44809,	 cache time: 8.174351283482142e-07,	 generate time: 2.7309811115264893
[14]: Semantic Similarity: 0.23945,	 cache time: 7.152557373046875e-07,	 generate time: 0.7253322601318359
[14]: [Cumulative]: Semantic Similarity: 0.43418,	 cache time: 8.106231689453125e-07,	 generate time: 2.597271188100179
[15]: Semantic Similarity: 0.27993,	 cache time: 9.5367431640625e-07,	 generate time: 0.43265414237976074
[15]: [Cumulative]: Semantic Similarity: 0.42454,	 cache time: 8.195638656616211e-07,	 generate time: 2.461982622742653
[16]: Semantic Similarity: 0.31892,	 cache time: 7.152557373046875e-07,	 generate time: 0.898411750793457
[16]: [Cumulative]: Semantic Similarity: 0.41833,	 cache time: 8.134280934053309e-07,	 generate time: 2.3700078655691708
[17]: Semantic Similarity: 0.57584,	 cache time: 7.152557373046875e-07,	 generate time: 3.2323756217956543
[17]: [Cumulative]: Semantic Similarity: 0.42708,	 cache time: 8.079740736219618e-07,	 generate time: 2.417917185359531
[18]: Semantic Similarity: 0.45662,	 cache time: 7.152557373046875e-07,	 generate time: 1.3087067604064941
[18]: [Cumulative]: Semantic Similarity: 0.42864,	 cache time: 8.030941611842105e-07,	 generate time: 2.3595376893093714
[19]: Semantic Similarity: 0.36434,	 cache time: 9.5367431640625e-07,	 generate time: 6.469916105270386
[19]: [Cumulative]: Semantic Similarity: 0.42542,	 cache time: 8.106231689453125e-07,	 generate time: 2.5650566101074217
[20]: Semantic Similarity: 0.16685,	 cache time: 7.152557373046875e-07,	 generate time: 0.1649003028869629
[20]: [Cumulative]: Semantic Similarity: 0.41311,	 cache time: 8.060818626767113e-07,	 generate time: 2.450763452620733
[21]: Semantic Similarity: 0.14554,	 cache time: 1.1920928955078125e-06,	 generate time: 1.6988811492919922
[21]: [Cumulative]: Semantic Similarity: 0.40095,	 cache time: 8.236278187144886e-07,	 generate time: 2.416586984287609
[22]: Semantic Similarity: 0.10057,	 cache time: 9.5367431640625e-07,	 generate time: 0.680534839630127
[22]: [Cumulative]: Semantic Similarity: 0.38789,	 cache time: 8.292820142663043e-07,	 generate time: 2.3411064562590225
[23]: Semantic Similarity: 0.26055,	 cache time: 7.152557373046875e-07,	 generate time: 0.12155556678771973
