KVcache prepared in 0.7308540344238281 seconds
[0]: Semantic Similarity: 0.44844,	 cache time: 7.152557373046875e-07,	 generate time: 8.529350280761719
[0]: [Cumulative]: Semantic Similarity: 0.44844,	 cache time: 7.152557373046875e-07,	 generate time: 8.529350280761719
[1]: Semantic Similarity: 0.17496,	 cache time: 9.5367431640625e-07,	 generate time: 8.908851385116577
[1]: [Cumulative]: Semantic Similarity: 0.3117,	 cache time: 8.344650268554688e-07,	 generate time: 8.719100832939148
[2]: Semantic Similarity: 0.54995,	 cache time: 7.152557373046875e-07,	 generate time: 1.1673223972320557
[2]: [Cumulative]: Semantic Similarity: 0.39112,	 cache time: 7.947285970052084e-07,	 generate time: 6.201841354370117
[3]: Semantic Similarity: 0.12814,	 cache time: 7.152557373046875e-07,	 generate time: 3.449413776397705
[3]: [Cumulative]: Semantic Similarity: 0.32537,	 cache time: 7.748603820800781e-07,	 generate time: 5.513734459877014
[4]: Semantic Similarity: 0.70332,	 cache time: 9.5367431640625e-07,	 generate time: 2.1920242309570312
[4]: [Cumulative]: Semantic Similarity: 0.40096,	 cache time: 8.106231689453125e-07,	 generate time: 4.849392414093018
[5]: Semantic Similarity: 0.37362,	 cache time: 7.152557373046875e-07,	 generate time: 8.641156196594238
[5]: [Cumulative]: Semantic Similarity: 0.3964,	 cache time: 7.947285970052084e-07,	 generate time: 5.481353044509888
[6]: Semantic Similarity: 0.65156,	 cache time: 4.76837158203125e-07,	 generate time: 0.48515844345092773
[6]: [Cumulative]: Semantic Similarity: 0.43285,	 cache time: 7.493155343191964e-07,	 generate time: 4.767610958644322
[7]: Semantic Similarity: 0.52524,	 cache time: 9.5367431640625e-07,	 generate time: 6.750204801559448
[7]: [Cumulative]: Semantic Similarity: 0.4444,	 cache time: 7.748603820800781e-07,	 generate time: 5.015435189008713
[8]: Semantic Similarity: 0.3302,	 cache time: 1.430511474609375e-06,	 generate time: 0.7104301452636719
[8]: [Cumulative]: Semantic Similarity: 0.43171,	 cache time: 8.477105034722222e-07,	 generate time: 4.537101295259264
[9]: Semantic Similarity: 0.27536,	 cache time: 1.430511474609375e-06,	 generate time: 2.2633774280548096
[9]: [Cumulative]: Semantic Similarity: 0.41608,	 cache time: 9.059906005859375e-07,	 generate time: 4.309728908538818
