Retriever BM25 prepared in 0.3669734001159668 seconds
[0]: Semantic Similarity: 0.21839,	 retrieve time: 0.22919654846191406,	 generate time: 1.0293476581573486
[0]: [Cumulative]: Semantic Similarity: 0.21839,	 retrieve time: 0.22919654846191406,	 generate time: 1.0293476581573486
[1]: Semantic Similarity: 0.21284,	 retrieve time: 0.003664731979370117,	 generate time: 0.21590185165405273
[1]: [Cumulative]: Semantic Similarity: 0.21561,	 retrieve time: 0.11643064022064209,	 generate time: 0.6226247549057007
[2]: Semantic Similarity: 1.0,	 retrieve time: 0.002947568893432617,	 generate time: 0.23241138458251953
[2]: [Cumulative]: Semantic Similarity: 0.47708,	 retrieve time: 0.07860294977823894,	 generate time: 0.4925536314646403
[3]: Semantic Similarity: 0.41249,	 retrieve time: 0.003141164779663086,	 generate time: 0.5801610946655273
[3]: [Cumulative]: Semantic Similarity: 0.46093,	 retrieve time: 0.05973750352859497,	 generate time: 0.5144554972648621
[4]: Semantic Similarity: 0.17272,	 retrieve time: 0.00363922119140625,	 generate time: 0.19126105308532715
[4]: [Cumulative]: Semantic Similarity: 0.40329,	 retrieve time: 0.04851784706115723,	 generate time: 0.4498166084289551
[5]: Semantic Similarity: 0.14996,	 retrieve time: 0.003286123275756836,	 generate time: 0.2896397113800049
[5]: [Cumulative]: Semantic Similarity: 0.36107,	 retrieve time: 0.040979226430257164,	 generate time: 0.4231204589207967
[6]: Semantic Similarity: 0.5032,	 retrieve time: 0.004046201705932617,	 generate time: 0.2128429412841797
[6]: [Cumulative]: Semantic Similarity: 0.38137,	 retrieve time: 0.03570308004106794,	 generate time: 0.39308081354413715
[7]: Semantic Similarity: 0.23969,	 retrieve time: 0.002864360809326172,	 generate time: 0.19676899909973145
[7]: [Cumulative]: Semantic Similarity: 0.36366,	 retrieve time: 0.03159824013710022,	 generate time: 0.3685418367385864
[8]: Semantic Similarity: 0.27797,	 retrieve time: 0.004481792449951172,	 generate time: 0.2598905563354492
[8]: [Cumulative]: Semantic Similarity: 0.35414,	 retrieve time: 0.02858530150519477,	 generate time: 0.35646947224934894
[9]: Semantic Similarity: 0.35311,	 retrieve time: 0.0037660598754882812,	 generate time: 0.19139742851257324
[9]: [Cumulative]: Semantic Similarity: 0.35404,	 retrieve time: 0.02610337734222412,	 generate time: 0.3399622678756714
[10]: Semantic Similarity: 0.17948,	 retrieve time: 0.003275632858276367,	 generate time: 0.20344305038452148
[10]: [Cumulative]: Semantic Similarity: 0.33817,	 retrieve time: 0.024028127843683415,	 generate time: 0.3275514299219305
[11]: Semantic Similarity: 1.0,	 retrieve time: 0.0033571720123291016,	 generate time: 0.28130650520324707
