Retriever BM25 prepared in 0.36872386932373047 seconds
[0]: Semantic Similarity: 1.0,	 retrieve time: 0.2334764003753662,	 generate time: 0.6337094306945801
[0]: [Cumulative]: Semantic Similarity: 1.0,	 retrieve time: 0.2334764003753662,	 generate time: 0.6337094306945801
[1]: Semantic Similarity: 0.21284,	 retrieve time: 0.003080129623413086,	 generate time: 0.11603951454162598
[1]: [Cumulative]: Semantic Similarity: 0.60642,	 retrieve time: 0.11827826499938965,	 generate time: 0.374874472618103
[2]: Semantic Similarity: 1.0,	 retrieve time: 0.003173351287841797,	 generate time: 0.16144227981567383
[2]: [Cumulative]: Semantic Similarity: 0.73761,	 retrieve time: 0.0799099604288737,	 generate time: 0.30373040835062665
[3]: Semantic Similarity: -0.08028,	 retrieve time: 0.0031151771545410156,	 generate time: 0.6337735652923584
[3]: [Cumulative]: Semantic Similarity: 0.53314,	 retrieve time: 0.06071126461029053,	 generate time: 0.38624119758605957
[4]: Semantic Similarity: 0.40345,	 retrieve time: 0.003639698028564453,	 generate time: 0.7287998199462891
[4]: [Cumulative]: Semantic Similarity: 0.5072,	 retrieve time: 0.04929695129394531,	 generate time: 0.45475292205810547
[5]: Semantic Similarity: 0.16796,	 retrieve time: 0.0030553340911865234,	 generate time: 0.11341404914855957
[5]: [Cumulative]: Semantic Similarity: 0.45066,	 retrieve time: 0.04159001509348551,	 generate time: 0.39786310990651447
[6]: Semantic Similarity: 0.5032,	 retrieve time: 0.003194093704223633,	 generate time: 0.11459684371948242
[6]: [Cumulative]: Semantic Similarity: 0.45817,	 retrieve time: 0.0361048834664481,	 generate time: 0.3573965004512242
[7]: Semantic Similarity: 0.38334,	 retrieve time: 0.003033876419067383,	 generate time: 0.33446359634399414
[7]: [Cumulative]: Semantic Similarity: 0.44881,	 retrieve time: 0.03197100758552551,	 generate time: 0.35452988743782043
[8]: Semantic Similarity: 0.27797,	 retrieve time: 0.004167795181274414,	 generate time: 0.20723509788513184
[8]: [Cumulative]: Semantic Similarity: 0.42983,	 retrieve time: 0.028881761762830947,	 generate time: 0.3381637997097439
[9]: Semantic Similarity: 0.35311,	 retrieve time: 0.0031113624572753906,	 generate time: 0.08113551139831543
[9]: [Cumulative]: Semantic Similarity: 0.42216,	 retrieve time: 0.02630472183227539,	 generate time: 0.3124609708786011
[10]: Semantic Similarity: 0.17948,	 retrieve time: 0.0035393238067626953,	 generate time: 0.0873727798461914
[10]: [Cumulative]: Semantic Similarity: 0.4001,	 retrieve time: 0.02423514019359242,	 generate time: 0.2919984080574729
[11]: Semantic Similarity: 1.0,	 retrieve time: 0.0031523704528808594,	 generate time: 0.1990971565246582
[11]: [Cumulative]: Semantic Similarity: 0.45009,	 retrieve time: 0.022478242715199787,	 generate time: 0.28425663709640503
[12]: Semantic Similarity: 0.4981,	 retrieve time: 0.004288434982299805,	 generate time: 0.807887077331543
[12]: [Cumulative]: Semantic Similarity: 0.45378,	 retrieve time: 0.021079026735745944,	 generate time: 0.3245359017298772
[13]: Semantic Similarity: 1.0,	 retrieve time: 0.003863811492919922,	 generate time: 0.2161424160003662
[13]: [Cumulative]: Semantic Similarity: 0.4928,	 retrieve time: 0.019849368504115512,	 generate time: 0.31679350989205496
[14]: Semantic Similarity: 0.2718,	 retrieve time: 0.003265380859375,	 generate time: 0.22543931007385254
[14]: [Cumulative]: Semantic Similarity: 0.47806,	 retrieve time: 0.01874376932779948,	 generate time: 0.3107032299041748
[15]: Semantic Similarity: 1.0,	 retrieve time: 0.003468751907348633,	 generate time: 0.16823077201843262
[15]: [Cumulative]: Semantic Similarity: 0.51069,	 retrieve time: 0.0177890807390213,	 generate time: 0.3017987012863159
[16]: Semantic Similarity: 0.34176,	 retrieve time: 0.003154277801513672,	 generate time: 0.1006166934967041
