Retriever BM25 prepared in 2.2929654121398926 seconds
[0]: Semantic Similarity: 0.0686,	 retrieve time: 0.09214901924133301,	 generate time: 0.5978109836578369
[0]: [Cumulative]: Semantic Similarity: 0.0686,	 retrieve time: 0.09214901924133301,	 generate time: 0.5978109836578369
[1]: Semantic Similarity: 0.81103,	 retrieve time: 0.003190755844116211,	 generate time: 0.5503959655761719
[1]: [Cumulative]: Semantic Similarity: 0.43982,	 retrieve time: 0.04766988754272461,	 generate time: 0.5741034746170044
[2]: Semantic Similarity: 0.57271,	 retrieve time: 0.003198862075805664,	 generate time: 0.2479724884033203
[2]: [Cumulative]: Semantic Similarity: 0.48411,	 retrieve time: 0.03284621238708496,	 generate time: 0.4653931458791097
[3]: Semantic Similarity: 0.61356,	 retrieve time: 0.00409245491027832,	 generate time: 0.8692953586578369
[3]: [Cumulative]: Semantic Similarity: 0.51648,	 retrieve time: 0.0256577730178833,	 generate time: 0.5663686990737915
[4]: Semantic Similarity: 0.24778,	 retrieve time: 0.0034012794494628906,	 generate time: 0.15561151504516602
[4]: [Cumulative]: Semantic Similarity: 0.46274,	 retrieve time: 0.021206474304199217,	 generate time: 0.4842172622680664
[5]: Semantic Similarity: 0.01122,	 retrieve time: 0.003731966018676758,	 generate time: 0.16251039505004883
[5]: [Cumulative]: Semantic Similarity: 0.38748,	 retrieve time: 0.01829405625661214,	 generate time: 0.4305994510650635
[6]: Semantic Similarity: 0.26453,	 retrieve time: 0.0028786659240722656,	 generate time: 0.5593342781066895
[6]: [Cumulative]: Semantic Similarity: 0.36992,	 retrieve time: 0.016091857637677873,	 generate time: 0.44899014064243864
[7]: Semantic Similarity: 0.58693,	 retrieve time: 0.003273487091064453,	 generate time: 0.546637773513794
[7]: [Cumulative]: Semantic Similarity: 0.39705,	 retrieve time: 0.014489561319351196,	 generate time: 0.46119609475135803
[8]: Semantic Similarity: 0.69937,	 retrieve time: 0.003798246383666992,	 generate time: 0.7180967330932617
[8]: [Cumulative]: Semantic Similarity: 0.43064,	 retrieve time: 0.013301637437608507,	 generate time: 0.48974061012268066
[9]: Semantic Similarity: 0.05961,	 retrieve time: 0.0034246444702148438,	 generate time: 0.15270137786865234
[9]: [Cumulative]: Semantic Similarity: 0.39353,	 retrieve time: 0.012313938140869141,	 generate time: 0.45603668689727783
[10]: Semantic Similarity: 0.63469,	 retrieve time: 0.003148317337036133,	 generate time: 0.5363638401031494
[10]: [Cumulative]: Semantic Similarity: 0.41546,	 retrieve time: 0.011480699885975231,	 generate time: 0.4633391553705389
[11]: Semantic Similarity: 0.50704,	 retrieve time: 0.00335693359375,	 generate time: 0.7837231159210205
[11]: [Cumulative]: Semantic Similarity: 0.42309,	 retrieve time: 0.010803719361623129,	 generate time: 0.49003781874974567
[12]: Semantic Similarity: 0.12639,	 retrieve time: 0.0033435821533203125,	 generate time: 1.9875149726867676
[12]: [Cumulative]: Semantic Similarity: 0.40027,	 retrieve time: 0.010229862653292142,	 generate time: 0.6052283690525935
[13]: Semantic Similarity: 0.25282,	 retrieve time: 0.002953767776489258,	 generate time: 0.7137351036071777
[13]: [Cumulative]: Semantic Similarity: 0.38973,	 retrieve time: 0.009710141590663366,	 generate time: 0.6129788500922067
[14]: Semantic Similarity: 0.13563,	 retrieve time: 0.006518840789794922,	 generate time: 1.189732551574707
[14]: [Cumulative]: Semantic Similarity: 0.37279,	 retrieve time: 0.009497388203938802,	 generate time: 0.6514290968577067
[15]: Semantic Similarity: 0.23415,	 retrieve time: 0.0028333663940429688,	 generate time: 0.15757369995117188
[15]: [Cumulative]: Semantic Similarity: 0.36413,	 retrieve time: 0.009080886840820312,	 generate time: 0.6205631345510483
[16]: Semantic Similarity: 0.14968,	 retrieve time: 0.0030372142791748047,	 generate time: 0.15656638145446777
[16]: [Cumulative]: Semantic Similarity: 0.35151,	 retrieve time: 0.008725376690135282,	 generate time: 0.5932692078983083
[17]: Semantic Similarity: 0.33941,	 retrieve time: 0.0029730796813964844,	 generate time: 0.5715889930725098
[17]: [Cumulative]: Semantic Similarity: 0.35084,	 retrieve time: 0.008405804634094238,	 generate time: 0.5920647515190972
[18]: Semantic Similarity: 0.5127,	 retrieve time: 0.002905607223510742,	 generate time: 0.3685271739959717
[18]: [Cumulative]: Semantic Similarity: 0.35936,	 retrieve time: 0.008116320559853002,	 generate time: 0.5802996158599854
[19]: Semantic Similarity: 0.11291,	 retrieve time: 0.0051326751708984375,	 generate time: 0.15165162086486816
[19]: [Cumulative]: Semantic Similarity: 0.34704,	 retrieve time: 0.007967138290405273,	 generate time: 0.5588672161102295
[20]: Semantic Similarity: 0.64754,	 retrieve time: 0.0031490325927734375,	 generate time: 0.22153782844543457
[20]: [Cumulative]: Semantic Similarity: 0.36135,	 retrieve time: 0.007737704685756138,	 generate time: 0.5428039119357154
[21]: Semantic Similarity: 0.14725,	 retrieve time: 0.003148794174194336,	 generate time: 0.15736722946166992
[21]: [Cumulative]: Semantic Similarity: 0.35162,	 retrieve time: 0.007529117844321511,	 generate time: 0.5252840627323497
[22]: Semantic Similarity: 0.24866,	 retrieve time: 0.0029764175415039062,	 generate time: 0.1693570613861084
[22]: [Cumulative]: Semantic Similarity: 0.34714,	 retrieve time: 0.007331174352894659,	 generate time: 0.5098089757172958
[23]: Semantic Similarity: 1.0,	 retrieve time: 0.0029392242431640625,	 generate time: 0.21508216857910156
[23]: [Cumulative]: Semantic Similarity: 0.37434,	 retrieve time: 0.007148176431655884,	 generate time: 0.49752869208653766
[24]: Semantic Similarity: 0.67461,	 retrieve time: 0.0028772354125976562,	 generate time: 0.46169209480285645
[24]: [Cumulative]: Semantic Similarity: 0.38635,	 retrieve time: 0.006977338790893555,	 generate time: 0.4960952281951904
[25]: Semantic Similarity: 0.63489,	 retrieve time: 0.0028922557830810547,	 generate time: 0.8724071979522705
[25]: [Cumulative]: Semantic Similarity: 0.39591,	 retrieve time: 0.006820220213669997,	 generate time: 0.5105687654935397
[26]: Semantic Similarity: 0.11182,	 retrieve time: 0.0032057762145996094,	 generate time: 0.16676855087280273
[26]: [Cumulative]: Semantic Similarity: 0.38539,	 retrieve time: 0.0066863519174081305,	 generate time: 0.4978354242112901
[27]: Semantic Similarity: 0.11707,	 retrieve time: 0.003439664840698242,	 generate time: 0.16161084175109863
[27]: [Cumulative]: Semantic Similarity: 0.37581,	 retrieve time: 0.006570398807525635,	 generate time: 0.48582740340914043
[28]: Semantic Similarity: 0.47652,	 retrieve time: 0.0035092830657958984,	 generate time: 0.7556278705596924
[28]: [Cumulative]: Semantic Similarity: 0.37928,	 retrieve time: 0.006464843092293575,	 generate time: 0.49513086779364224
[29]: Semantic Similarity: 0.3777,	 retrieve time: 0.003495454788208008,	 generate time: 0.5408029556274414
[29]: [Cumulative]: Semantic Similarity: 0.37923,	 retrieve time: 0.006365863482157389,	 generate time: 0.49665327072143556
[30]: Semantic Similarity: 1.0,	 retrieve time: 0.0032439231872558594,	 generate time: 0.23308706283569336
[30]: [Cumulative]: Semantic Similarity: 0.39925,	 retrieve time: 0.006265155730708953,	 generate time: 0.4881511349831858
[31]: Semantic Similarity: 0.58403,	 retrieve time: 0.0028314590454101562,	 generate time: 1.3213403224945068
[31]: [Cumulative]: Semantic Similarity: 0.40503,	 retrieve time: 0.0061578527092933655,	 generate time: 0.5141882970929146
[32]: Semantic Similarity: 0.19923,	 retrieve time: 0.004518985748291016,	 generate time: 0.17493152618408203
[32]: [Cumulative]: Semantic Similarity: 0.39879,	 retrieve time: 0.006108190074111476,	 generate time: 0.503907788883556
[33]: Semantic Similarity: 0.39227,	 retrieve time: 0.003068685531616211,	 generate time: 0.8162603378295898
[33]: [Cumulative]: Semantic Similarity: 0.3986,	 retrieve time: 0.006018792881685144,	 generate time: 0.5130946285584393
[34]: Semantic Similarity: 0.17563,	 retrieve time: 0.003233194351196289,	 generate time: 0.15764546394348145
[34]: [Cumulative]: Semantic Similarity: 0.39223,	 retrieve time: 0.005939204352242606,	 generate time: 0.5029389381408691
[35]: Semantic Similarity: 0.15366,	 retrieve time: 0.0030694007873535156,	 generate time: 0.17983007431030273
[35]: [Cumulative]: Semantic Similarity: 0.3856,	 retrieve time: 0.0058594875865512425,	 generate time: 0.49396369192335343
[36]: Semantic Similarity: 0.08339,	 retrieve time: 0.003519773483276367,	 generate time: 0.5528993606567383
[36]: [Cumulative]: Semantic Similarity: 0.37743,	 retrieve time: 0.005796252070246516,	 generate time: 0.49555654783506653
[37]: Semantic Similarity: 0.20317,	 retrieve time: 0.002988100051879883,	 generate time: 0.15901494026184082
[37]: [Cumulative]: Semantic Similarity: 0.37285,	 retrieve time: 0.005722353332921078,	 generate time: 0.48670018974103424
[38]: Semantic Similarity: 0.19275,	 retrieve time: 0.0029256343841552734,	 generate time: 0.15016913414001465
[38]: [Cumulative]: Semantic Similarity: 0.36823,	 retrieve time: 0.005650642590645032,	 generate time: 0.4780711883153671
[39]: Semantic Similarity: 0.59282,	 retrieve time: 0.0031468868255615234,	 generate time: 0.456667423248291
[39]: [Cumulative]: Semantic Similarity: 0.37384,	 retrieve time: 0.005588048696517944,	 generate time: 0.4775360941886902
[40]: Semantic Similarity: 0.69794,	 retrieve time: 0.0030395984649658203,	 generate time: 0.45360636711120605
[40]: [Cumulative]: Semantic Similarity: 0.38175,	 retrieve time: 0.0055258913737971605,	 generate time: 0.47695244230875156
[41]: Semantic Similarity: 1.0,	 retrieve time: 0.0037996768951416016,	 generate time: 0.2544739246368408
[41]: [Cumulative]: Semantic Similarity: 0.39647,	 retrieve time: 0.005484791029067267,	 generate time: 0.4716553347451346
[42]: Semantic Similarity: 0.10049,	 retrieve time: 0.0032253265380859375,	 generate time: 0.1729564666748047
[42]: [Cumulative]: Semantic Similarity: 0.38959,	 retrieve time: 0.005432245343230491,	 generate time: 0.46470884944117347
