Retriever BM25 prepared in 1.811619758605957 seconds
[0]: Semantic Similarity: 0.0686,	 retrieve time: 0.09453320503234863,	 generate time: 0.6214940547943115
[0]: [Cumulative]: Semantic Similarity: 0.0686,	 retrieve time: 0.09453320503234863,	 generate time: 0.6214940547943115
[1]: Semantic Similarity: 0.81103,	 retrieve time: 0.002815723419189453,	 generate time: 0.5453765392303467
[1]: [Cumulative]: Semantic Similarity: 0.43982,	 retrieve time: 0.04867446422576904,	 generate time: 0.5834352970123291
[2]: Semantic Similarity: 0.57271,	 retrieve time: 0.003232240676879883,	 generate time: 0.250779390335083
[2]: [Cumulative]: Semantic Similarity: 0.48411,	 retrieve time: 0.03352705637613932,	 generate time: 0.4725499947865804
[3]: Semantic Similarity: 0.24778,	 retrieve time: 0.0028162002563476562,	 generate time: 0.1619856357574463
[3]: [Cumulative]: Semantic Similarity: 0.42503,	 retrieve time: 0.025849342346191406,	 generate time: 0.3949089050292969
[4]: Semantic Similarity: 0.01122,	 retrieve time: 0.003208160400390625,	 generate time: 0.16120672225952148
[4]: [Cumulative]: Semantic Similarity: 0.34227,	 retrieve time: 0.02132110595703125,	 generate time: 0.3481684684753418
[5]: Semantic Similarity: 0.48981,	 retrieve time: 0.003575563430786133,	 generate time: 0.593048095703125
[5]: [Cumulative]: Semantic Similarity: 0.36686,	 retrieve time: 0.0183635155359904,	 generate time: 0.38898173967997235
[6]: Semantic Similarity: 0.58693,	 retrieve time: 0.003007650375366211,	 generate time: 0.5635130405426025
[6]: [Cumulative]: Semantic Similarity: 0.3983,	 retrieve time: 0.016169820513044084,	 generate time: 0.4139147826603481
[7]: Semantic Similarity: 0.69937,	 retrieve time: 0.0035102367401123047,	 generate time: 0.7430427074432373
[7]: [Cumulative]: Semantic Similarity: 0.43593,	 retrieve time: 0.014587372541427612,	 generate time: 0.45505577325820923
[8]: Semantic Similarity: 0.67583,	 retrieve time: 0.003366708755493164,	 generate time: 0.2676091194152832
[8]: [Cumulative]: Semantic Similarity: 0.46259,	 retrieve time: 0.013340632120768229,	 generate time: 0.4342283672756619
[9]: Semantic Similarity: 0.25282,	 retrieve time: 0.0030908584594726562,	 generate time: 0.5769808292388916
[9]: [Cumulative]: Semantic Similarity: 0.44161,	 retrieve time: 0.012315654754638672,	 generate time: 0.44850361347198486
[10]: Semantic Similarity: 0.13563,	 retrieve time: 0.0032720565795898438,	 generate time: 0.8824813365936279
[10]: [Cumulative]: Semantic Similarity: 0.41379,	 retrieve time: 0.01149350946599787,	 generate time: 0.48795613375577057
[11]: Semantic Similarity: 0.23415,	 retrieve time: 0.0032639503479003906,	 generate time: 0.15880370140075684
[11]: [Cumulative]: Semantic Similarity: 0.39882,	 retrieve time: 0.01080771287282308,	 generate time: 0.4605267643928528
[12]: Semantic Similarity: 0.14968,	 retrieve time: 0.0031337738037109375,	 generate time: 0.16812992095947266
[12]: [Cumulative]: Semantic Similarity: 0.37966,	 retrieve time: 0.010217409867506761,	 generate time: 0.438034699513362
[13]: Semantic Similarity: 0.33941,	 retrieve time: 0.003221750259399414,	 generate time: 0.7212531566619873
[13]: [Cumulative]: Semantic Similarity: 0.37678,	 retrieve time: 0.009717719895499093,	 generate time: 0.4582645893096924
[14]: Semantic Similarity: 0.5127,	 retrieve time: 0.0032651424407958984,	 generate time: 0.4930419921875
[14]: [Cumulative]: Semantic Similarity: 0.38585,	 retrieve time: 0.009287548065185548,	 generate time: 0.46058308283487953
[15]: Semantic Similarity: 0.11291,	 retrieve time: 0.0029726028442382812,	 generate time: 0.16199803352355957
[15]: [Cumulative]: Semantic Similarity: 0.36879,	 retrieve time: 0.008892863988876343,	 generate time: 0.44192151725292206
[16]: Semantic Similarity: 0.64754,	 retrieve time: 0.00420069694519043,	 generate time: 0.26446533203125
[16]: [Cumulative]: Semantic Similarity: 0.38518,	 retrieve time: 0.008616854162777172,	 generate time: 0.4314829181222355
[17]: Semantic Similarity: 0.14725,	 retrieve time: 0.005295991897583008,	 generate time: 0.165238618850708
[17]: [Cumulative]: Semantic Similarity: 0.37196,	 retrieve time: 0.00843236181471083,	 generate time: 0.41669156816270614
[18]: Semantic Similarity: 0.24866,	 retrieve time: 0.004094123840332031,	 generate time: 0.1787242889404297
[18]: [Cumulative]: Semantic Similarity: 0.36548,	 retrieve time: 0.008204033500269839,	 generate time: 0.40416697451942846
[19]: Semantic Similarity: 1.0,	 retrieve time: 0.004044771194458008,	 generate time: 0.24502134323120117
[19]: [Cumulative]: Semantic Similarity: 0.3972,	 retrieve time: 0.007996070384979247,	 generate time: 0.39620969295501707
[20]: Semantic Similarity: 0.67461,	 retrieve time: 0.0034399032592773438,	 generate time: 0.6478977203369141
[20]: [Cumulative]: Semantic Similarity: 0.41041,	 retrieve time: 0.00777911004566011,	 generate time: 0.4081948371160598
[21]: Semantic Similarity: 0.11182,	 retrieve time: 0.0042536258697509766,	 generate time: 0.17615795135498047
