Retriever BM25 prepared in 0.23412227630615234 seconds
[0]: Semantic Similarity: -0.00841,	 retrieve time: 0.22894883155822754,	 generate time: 9.683725833892822
[0]: [Cumulative]: Semantic Similarity: -0.00841,	 retrieve time: 0.22894883155822754,	 generate time: 9.683725833892822
[1]: Semantic Similarity: 0.21763,	 retrieve time: 0.003811359405517578,	 generate time: 0.911827564239502
[1]: [Cumulative]: Semantic Similarity: 0.10461,	 retrieve time: 0.11638009548187256,	 generate time: 5.297776699066162
[2]: Semantic Similarity: 0.47473,	 retrieve time: 0.003246784210205078,	 generate time: 8.959628343582153
[2]: [Cumulative]: Semantic Similarity: 0.22798,	 retrieve time: 0.07866899172465007,	 generate time: 6.518393913904826
[3]: Semantic Similarity: 0.40484,	 retrieve time: 0.0037870407104492188,	 generate time: 6.776079893112183
[3]: [Cumulative]: Semantic Similarity: 0.2722,	 retrieve time: 0.059948503971099854,	 generate time: 6.582815408706665
[4]: Semantic Similarity: 0.73284,	 retrieve time: 0.002624034881591797,	 generate time: 0.6199338436126709
[4]: [Cumulative]: Semantic Similarity: 0.36432,	 retrieve time: 0.04848361015319824,	 generate time: 5.390239095687866
[5]: Semantic Similarity: 0.37096,	 retrieve time: 0.003175973892211914,	 generate time: 9.15202808380127
[5]: [Cumulative]: Semantic Similarity: 0.36543,	 retrieve time: 0.04093233744303385,	 generate time: 6.0172039270401
[6]: Semantic Similarity: 0.16965,	 retrieve time: 0.003183126449584961,	 generate time: 8.466282844543457
[6]: [Cumulative]: Semantic Similarity: 0.33746,	 retrieve time: 0.035539593015398295,	 generate time: 6.367072343826294
[7]: Semantic Similarity: 0.62009,	 retrieve time: 0.003696918487548828,	 generate time: 0.8702659606933594
[7]: [Cumulative]: Semantic Similarity: 0.37279,	 retrieve time: 0.031559258699417114,	 generate time: 5.679971545934677
[8]: Semantic Similarity: 0.16318,	 retrieve time: 0.0035562515258789062,	 generate time: 0.3772435188293457
[8]: [Cumulative]: Semantic Similarity: 0.3495,	 retrieve time: 0.02844781345791287,	 generate time: 5.090779542922974
[9]: Semantic Similarity: 0.09257,	 retrieve time: 0.004704475402832031,	 generate time: 7.641669511795044
[9]: [Cumulative]: Semantic Similarity: 0.32381,	 retrieve time: 0.026073479652404787,	 generate time: 5.345868539810181
[10]: Semantic Similarity: 0.1695,	 retrieve time: 0.0034265518188476562,	 generate time: 0.854748010635376
[10]: [Cumulative]: Semantic Similarity: 0.30978,	 retrieve time: 0.024014668031172318,	 generate time: 4.937584855339744
[11]: Semantic Similarity: 0.14085,	 retrieve time: 0.003450155258178711,	 generate time: 9.18567681312561
[11]: [Cumulative]: Semantic Similarity: 0.2957,	 retrieve time: 0.02230095863342285,	 generate time: 5.291592518488566
[12]: Semantic Similarity: 0.43571,	 retrieve time: 0.003450155258178711,	 generate time: 1.3421831130981445
[12]: [Cumulative]: Semantic Similarity: 0.30647,	 retrieve time: 0.02085089683532715,	 generate time: 4.987791794996995
[13]: Semantic Similarity: 0.08862,	 retrieve time: 0.0031156539916992188,	 generate time: 0.275266170501709
[13]: [Cumulative]: Semantic Similarity: 0.29091,	 retrieve time: 0.01958409377506801,	 generate time: 4.65118282181876
[14]: Semantic Similarity: 0.0703,	 retrieve time: 0.003638029098510742,	 generate time: 6.6823883056640625
[14]: [Cumulative]: Semantic Similarity: 0.2762,	 retrieve time: 0.01852102279663086,	 generate time: 4.786596520741781
[15]: Semantic Similarity: 0.4887,	 retrieve time: 0.0031456947326660156,	 generate time: 0.34996819496154785
[15]: [Cumulative]: Semantic Similarity: 0.28948,	 retrieve time: 0.017560064792633057,	 generate time: 4.509307250380516
[16]: Semantic Similarity: 0.28951,	 retrieve time: 0.0030853748321533203,	 generate time: 2.0082077980041504
[16]: [Cumulative]: Semantic Similarity: 0.28949,	 retrieve time: 0.0167086124420166,	 generate time: 4.362183753181906
[17]: Semantic Similarity: 0.2493,	 retrieve time: 0.003983974456787109,	 generate time: 0.3294711112976074
[17]: [Cumulative]: Semantic Similarity: 0.28725,	 retrieve time: 0.01600168810950385,	 generate time: 4.138144161966112
[18]: Semantic Similarity: 0.35622,	 retrieve time: 0.0029587745666503906,	 generate time: 8.140405416488647
[18]: [Cumulative]: Semantic Similarity: 0.29088,	 retrieve time: 0.015315218975669459,	 generate time: 4.348789491151509
[19]: Semantic Similarity: 0.21679,	 retrieve time: 0.003093719482421875,	 generate time: 6.510324954986572
[19]: [Cumulative]: Semantic Similarity: 0.28718,	 retrieve time: 0.01470414400100708,	 generate time: 4.456866264343262
[20]: Semantic Similarity: 0.17953,	 retrieve time: 0.0032951831817626953,	 generate time: 8.415024518966675
[20]: [Cumulative]: Semantic Similarity: 0.28205,	 retrieve time: 0.014160860152471633,	 generate time: 4.645349990753901
[21]: Semantic Similarity: -0.01669,	 retrieve time: 0.0030105113983154297,	 generate time: 9.020558834075928
[21]: [Cumulative]: Semantic Similarity: 0.26847,	 retrieve time: 0.013654026118191805,	 generate time: 4.844223119995811
[22]: Semantic Similarity: 0.06981,	 retrieve time: 0.0028717517852783203,	 generate time: 2.481580972671509
[22]: [Cumulative]: Semantic Similarity: 0.25984,	 retrieve time: 0.013185231581978176,	 generate time: 4.741499548373015
[23]: Semantic Similarity: 0.48824,	 retrieve time: 0.0031538009643554688,	 generate time: 0.4365723133087158
[23]: [Cumulative]: Semantic Similarity: 0.26935,	 retrieve time: 0.012767255306243896,	 generate time: 4.562127580245336
[24]: Semantic Similarity: 0.60689,	 retrieve time: 0.0031282901763916016,	 generate time: 1.0349512100219727
[24]: [Cumulative]: Semantic Similarity: 0.28285,	 retrieve time: 0.012381696701049804,	 generate time: 4.421040525436402
[25]: Semantic Similarity: 0.19937,	 retrieve time: 0.003162860870361328,	 generate time: 0.522141695022583
[25]: [Cumulative]: Semantic Similarity: 0.27964,	 retrieve time: 0.012027126092177171,	 generate time: 4.271082878112793
[26]: Semantic Similarity: -0.00816,	 retrieve time: 0.0036172866821289062,	 generate time: 2.991685152053833
[26]: [Cumulative]: Semantic Similarity: 0.26898,	 retrieve time: 0.01171565055847168,	 generate time: 4.223697777147646
[27]: Semantic Similarity: 0.23355,	 retrieve time: 0.0032417774200439453,	 generate time: 0.9167790412902832
[27]: [Cumulative]: Semantic Similarity: 0.26772,	 retrieve time: 0.01141301223209926,	 generate time: 4.105593536581312
[28]: Semantic Similarity: 0.25562,	 retrieve time: 0.0035402774810791016,	 generate time: 1.3093912601470947
[28]: [Cumulative]: Semantic Similarity: 0.2673,	 retrieve time: 0.011141538619995117,	 generate time: 4.0091727684284075
[29]: Semantic Similarity: 0.19222,	 retrieve time: 0.0031664371490478516,	 generate time: 0.3008120059967041
[29]: [Cumulative]: Semantic Similarity: 0.2648,	 retrieve time: 0.010875701904296875,	 generate time: 3.8855607430140178
[30]: Semantic Similarity: 0.06624,	 retrieve time: 0.0032138824462890625,	 generate time: 8.7734534740448
[30]: [Cumulative]: Semantic Similarity: 0.25839,	 retrieve time: 0.010628546437909525,	 generate time: 4.043234702079527
[31]: Semantic Similarity: 0.20746,	 retrieve time: 0.0033681392669677734,	 generate time: 1.5521459579467773
[31]: [Cumulative]: Semantic Similarity: 0.2568,	 retrieve time: 0.010401658713817596,	 generate time: 3.9653881788253784
[32]: Semantic Similarity: 0.2485,	 retrieve time: 0.0028557777404785156,	 generate time: 4.018326759338379
[32]: [Cumulative]: Semantic Similarity: 0.25655,	 retrieve time: 0.010172995654019442,	 generate time: 3.9669923782348633
[33]: Semantic Similarity: 0.19942,	 retrieve time: 0.0033206939697265625,	 generate time: 9.113445043563843
[33]: [Cumulative]: Semantic Similarity: 0.25487,	 retrieve time: 0.009971457369187298,	 generate time: 4.11835863309748
[34]: Semantic Similarity: 0.3299,	 retrieve time: 0.002642393112182617,	 generate time: 1.1299028396606445
[34]: [Cumulative]: Semantic Similarity: 0.25701,	 retrieve time: 0.00976205553327288,	 generate time: 4.032974181856428
[35]: Semantic Similarity: 0.39894,	 retrieve time: 0.003278493881225586,	 generate time: 0.7487385272979736
[35]: [Cumulative]: Semantic Similarity: 0.26096,	 retrieve time: 0.009581956598493788,	 generate time: 3.9417454136742487
